Time,SessionBlockNumber,BlockTrialNumber,VRHead_Position_X,VRHead_Position_Y,VRHead_Position_Z,VRHead_Rotation_X,VRHead_Rotation_Y,VRHead_Rotation_Z,VRLeftHand_Position_X,VRLeftHand_Position_Y,VRLeftHand_Position_Z,VRLeftHand_Rotation_X,VRLeftHand_Rotation_Y,VRLeftHand_Rotation_Z,VRLeftHand_HoldingObjectType,VRRightHand_Position_X,VRRightHand_Position_Y,VRRightHand_Position_Z,VRRightHand_Rotation_X,VRRightHand_Rotation_Y,VRRightHand_Rotation_Z,VRRightHand_HoldingObjectType,
0.6430802,2,2,-0.02383481,1.648688,0.02907358,15.2145,0.6648266,357.0822,-0.229735,1.205572,0.2510846,342.0782,26.73821,332.0224,NoObject,-0.2105323,1.763207,0.1172388,16.57152,316.0604,308.1501,NoObject,
0.6699552,2,2,-0.02398555,1.648393,0.02931009,15.34322,0.6233269,357.0956,-0.2297283,1.205601,0.2510419,342.054,26.74327,332.0206,NoObject,-0.2105323,1.763207,0.1172388,16.57002,316.0579,308.151,NoObject,
0.6941114,2,2,-0.02412522,1.647972,0.02961336,15.48631,0.5978677,357.1236,-0.2297249,1.205622,0.2509828,342.0267,26.75623,331.9947,NoObject,-0.2105323,1.763207,0.1172388,16.57024,316.0578,308.1493,NoObject,
0.7188848,2,2,-0.02429786,1.647641,0.02989247,15.62685,0.5781181,357.1474,-0.2297058,1.205636,0.2509679,342.0042,26.76058,331.977,NoObject,-0.2105323,1.763207,0.1172388,16.57181,316.059,308.1495,NoObject,
0.74297,2,2,-0.02450519,1.647163,0.03022924,15.79061,0.5431674,357.1631,-0.2297095,1.205633,0.2509751,341.9932,26.75872,331.9696,NoObject,-0.2105323,1.763207,0.1172388,16.56967,316.0572,308.1504,NoObject,
0.7689545,2,2,-0.02472894,1.646701,0.03042478,15.96286,0.5285627,357.174,-0.2297481,1.205662,0.2509775,341.9586,26.7514,331.9698,NoObject,-0.2105323,1.763207,0.1172388,16.56993,316.0597,308.1516,NoObject,
0.793853,2,2,-0.02488536,1.646268,0.03073584,16.17711,0.4837798,357.1823,-0.2297637,1.205701,0.2509998,341.9297,26.76109,331.9593,NoObject,-0.2105323,1.763207,0.1172388,16.57143,316.0607,308.1522,NoObject,
0.8192422,2,2,-0.02508779,1.645627,0.03098077,16.41076,0.457916,357.2022,-0.2297793,1.205733,0.2510065,341.8869,26.784,331.9537,NoObject,-0.2105323,1.763207,0.1172388,16.57119,316.06,308.1523,NoObject,
0.8437747,2,2,-0.02538023,1.644782,0.03127415,16.7224,0.3948271,357.2126,-0.2297718,1.205763,0.2509608,341.8231,26.81907,331.9225,NoObject,-0.2105323,1.763207,0.1172388,16.57162,316.0578,308.1522,NoObject,
0.8689174,2,2,-0.02567981,1.643659,0.03150325,17.15625,0.3024181,357.2535,-0.2297485,1.205817,0.2509322,341.7559,26.85633,331.9031,NoObject,-0.2105323,1.763207,0.1172388,16.5715,316.0564,308.1502,NoObject,
0.8937436,2,2,-0.02616179,1.642093,0.03197959,17.72068,0.1933951,357.3191,-0.2297407,1.205877,0.2509114,341.697,26.88449,331.8816,NoObject,-0.2105323,1.763207,0.1172388,16.57229,316.055,308.1509,NoObject,
0.9190728,2,2,-0.02669458,1.640058,0.03270753,18.50797,0.03929367,357.4142,-0.2297189,1.205967,0.2508288,341.6028,26.93497,331.8604,NoObject,-0.2105323,1.763207,0.1172388,16.57309,316.0546,308.1508,NoObject,
0.9432254,2,2,-0.02736611,1.637425,0.03352984,19.49815,359.8603,357.5112,-0.2296171,1.206039,0.2507446,341.5552,26.97144,331.8275,NoObject,-0.2105323,1.763207,0.1172388,16.57297,316.0545,308.1494,NoObject,
0.9719284,2,2,-0.02813225,1.634256,0.03424441,20.79055,359.6528,357.6454,-0.2294871,1.206119,0.2506349,341.4736,27.03887,331.7231,NoObject,-0.2105323,1.763207,0.1172388,16.57145,316.0556,308.1481,NoObject,
0.9946654,2,2,-0.02892662,1.630613,0.03504459,22.27375,359.4535,357.7752,-0.229377,1.206207,0.2504168,341.3248,27.16555,331.5913,NoObject,-0.2105323,1.763207,0.1172388,16.57248,316.0542,308.1483,NoObject,
1.018395,2,2,-0.02970132,1.626549,0.03593896,23.90159,359.2631,357.8727,-0.2292591,1.206421,0.2501299,341.1335,27.31597,331.4358,NoObject,-0.2105323,1.763207,0.1172388,16.57234,316.0554,308.1463,NoObject,
1.042899,2,2,-0.03042348,1.622303,0.03673939,25.662,359.1227,357.9794,-0.2291905,1.206582,0.2499493,340.9938,27.42615,331.3538,NoObject,-0.2105323,1.763207,0.1172388,16.5719,316.0566,308.1458,NoObject,
1.069273,2,2,-0.03125758,1.618568,0.03778307,27.30895,358.9836,358.1677,-0.229092,1.206749,0.2497076,340.8495,27.55318,331.25,NoObject,-0.2105323,1.763207,0.1172388,16.57189,316.0555,308.1459,NoObject,
1.09437,2,2,-0.03192183,1.615097,0.03899231,28.65355,358.8224,358.2112,-0.2290277,1.206992,0.2494284,340.6878,27.7655,331.1716,NoObject,-0.2105323,1.763207,0.1172388,16.57345,316.0561,308.1451,NoObject,
1.119158,2,2,-0.03247202,1.612263,0.04011881,29.68685,358.7274,358.3,-0.2289056,1.207226,0.2490385,340.4095,27.94995,330.8728,NoObject,-0.2105323,1.763207,0.1172388,16.5733,316.0527,308.1454,NoObject,
1.14461,2,2,-0.03295266,1.609787,0.04147197,30.40211,358.6527,358.3783,-0.2288946,1.207389,0.2488862,340.3298,28.08006,330.8412,NoObject,-0.2105323,1.763207,0.1172388,16.57496,316.0529,308.1455,NoObject,
1.170117,2,2,-0.03344707,1.607894,0.04256931,30.90017,358.6121,358.4854,-0.2288993,1.207474,0.2487584,340.2636,28.17818,330.818,NoObject,-0.2105323,1.763207,0.1172388,16.57376,316.0525,308.1455,NoObject,
1.193764,2,2,-0.03385086,1.606148,0.04372342,31.29839,358.5825,358.598,-0.2289359,1.207533,0.2486067,340.2271,28.29641,330.8765,NoObject,-0.2105323,1.763207,0.1172388,16.57372,316.0522,308.1445,NoObject,
1.219775,2,2,-0.03429547,1.604832,0.04485953,31.64439,358.5276,358.6767,-0.2289677,1.207516,0.2484776,340.21,28.43343,330.902,NoObject,-0.2105323,1.763207,0.1172388,16.57319,316.0519,308.1425,NoObject,
1.243335,2,2,-0.03472137,1.603671,0.04581217,31.92271,358.498,358.7738,-0.2288823,1.207481,0.2482758,340.1041,28.58041,330.7264,NoObject,-0.2105323,1.763207,0.1172388,16.57379,316.0533,308.1425,NoObject,
1.26971,2,2,-0.03518403,1.602614,0.04677931,32.19645,358.4109,358.83,-0.2287662,1.207445,0.2480549,340.079,28.68256,330.7041,NoObject,-0.2105323,1.763207,0.1172388,16.57452,316.0532,308.1426,NoObject,
1.294495,2,2,-0.03564604,1.601589,0.04761695,32.49073,358.331,358.9017,-0.2286766,1.207412,0.2478126,340.0882,28.8525,330.7676,NoObject,-0.2105323,1.763207,0.1172388,16.57552,316.0521,308.1408,NoObject,
1.319093,2,2,-0.0360134,1.600758,0.04856412,32.78434,358.2508,358.9505,-0.2286342,1.207384,0.2478062,340.098,28.94783,330.8623,NoObject,-0.2105323,1.763207,0.1172388,16.57543,316.0529,308.1423,NoObject,
1.343576,2,2,-0.03635461,1.599794,0.04956001,33.10484,358.1932,359.0204,-0.2285333,1.207377,0.2475427,340.1213,29.23302,331.0563,NoObject,-0.2105323,1.763207,0.1172388,16.57699,316.0528,308.1422,NoObject,
1.369259,2,2,-0.03678853,1.59863,0.0502675,33.4349,358.1402,359.1069,-0.2283883,1.207487,0.2472966,340.0527,29.37926,331.1013,NoObject,-0.2105323,1.763207,0.1172388,16.57573,316.0537,308.1436,NoObject,
1.394173,2,2,-0.03717008,1.597636,0.05132455,33.77377,358.0938,359.1915,-0.22829,1.207496,0.2471748,340.0347,29.40429,330.9872,NoObject,-0.2105323,1.763207,0.1172388,16.5755,316.0543,308.1431,NoObject,
1.420099,2,2,-0.03757545,1.596649,0.05217264,34.0486,358.0755,359.2466,-0.2282348,1.207513,0.2471073,340.0396,29.43015,330.9746,NoObject,-0.2105323,1.763207,0.1172388,16.5742,316.0548,308.1435,NoObject,
1.443418,2,2,-0.03778467,1.595716,0.05284479,34.29367,358.0764,359.2746,-0.2281512,1.207575,0.2468779,340.0236,29.58114,330.9634,NoObject,-0.2105323,1.763207,0.1172388,16.57364,316.0542,308.1414,NoObject,
1.470429,2,2,-0.03790735,1.594943,0.05341253,34.51587,358.1024,359.2852,-0.2280561,1.207715,0.246553,339.9775,29.75744,330.9899,NoObject,-0.2105323,1.763207,0.1172388,16.5757,316.0536,308.1418,NoObject,
1.494635,2,2,-0.03790378,1.594384,0.05389888,34.66155,358.163,359.2932,-0.2279922,1.207764,0.2464135,339.9538,29.8068,330.9359,NoObject,-0.2105323,1.763207,0.1172388,16.57634,316.0553,308.1433,NoObject,
1.518581,2,2,-0.03777588,1.594037,0.05420409,34.74642,358.2272,359.2761,-0.2278901,1.207799,0.2462266,339.9539,29.88007,330.8398,NoObject,-0.2105323,1.763207,0.1172388,16.57391,316.0548,308.1439,NoObject,
1.54405,2,2,-0.03769256,1.593966,0.05451631,34.78624,358.3188,359.2787,-0.2278351,1.20783,0.2461005,339.9462,29.91732,330.8204,NoObject,-0.2105323,1.763207,0.1172388,16.57432,316.0533,308.1439,NoObject,
1.56966,2,2,-0.0375373,1.593683,0.05467303,34.79372,358.4193,359.2621,-0.2278531,1.207845,0.2460158,339.9287,29.93765,330.7907,NoObject,-0.2105323,1.763207,0.1172388,16.57519,316.0531,308.142,NoObject,
1.594549,2,2,-0.03730704,1.593718,0.05476697,34.77932,358.5233,359.2566,-0.2278849,1.207868,0.2459329,339.9108,29.95553,330.7733,NoObject,-0.2105323,1.763207,0.1172388,16.57405,316.0543,308.1418,NoObject,
1.619165,2,2,-0.03701372,1.59376,0.05474619,34.7629,358.5734,359.2357,-0.2279018,1.207952,0.2459256,339.9006,29.96431,330.7587,NoObject,-0.2105323,1.763207,0.1172388,16.57517,316.0536,308.1418,NoObject,
1.643375,2,2,-0.0368336,1.59381,0.05462921,34.72498,358.6404,359.2488,-0.2279262,1.208,0.2459239,339.8938,29.97384,330.7316,NoObject,-0.2105323,1.763207,0.1172388,16.57351,316.0532,308.1418,NoObject,
1.670188,2,2,-0.03665426,1.593837,0.05449639,34.73838,358.6621,359.2286,-0.2279538,1.207996,0.2459106,339.901,29.98563,330.7245,NoObject,-0.2105323,1.763207,0.1172388,16.57298,316.0539,308.1422,NoObject,
1.694444,2,2,-0.03658437,1.593761,0.0543644,34.75433,358.6544,359.2068,-0.2279678,1.208004,0.2458841,339.9142,29.99372,330.7328,NoObject,-0.2105323,1.763207,0.1172388,16.57425,316.0568,308.1406,NoObject,
1.719199,2,2,-0.03658938,1.593622,0.05428749,34.77287,358.6333,359.192,-0.2280036,1.208038,0.2458714,339.9163,29.98895,330.7388,NoObject,-0.2105323,1.763207,0.1172388,16.57507,316.0579,308.1414,NoObject,
1.743399,2,2,-0.03660074,1.593386,0.05432016,34.82179,358.578,359.1665,-0.2280741,1.208119,0.245817,339.899,29.99014,330.7444,NoObject,-0.2105323,1.763207,0.1172388,16.57543,316.0571,308.1415,NoObject,
1.770082,2,2,-0.03675507,1.593045,0.05433004,34.8983,358.5206,359.1728,-0.2281127,1.208193,0.2457092,339.8756,30.014,330.7472,NoObject,-0.2105323,1.763207,0.1172388,16.5754,316.0583,308.1404,NoObject,
1.796093,2,2,-0.03688693,1.592553,0.05434581,35.018,358.4593,359.2124,-0.2280902,1.208257,0.2455932,339.8407,30.06118,330.7122,NoObject,-0.2105323,1.763207,0.1172388,16.57549,316.0561,308.1383,NoObject,
1.818807,2,2,-0.03728781,1.591845,0.05429832,35.20042,358.3933,359.2848,-0.2279784,1.208302,0.2455077,339.8085,30.12073,330.6508,NoObject,-0.2105323,1.763207,0.1172388,16.5755,316.0558,308.1388,NoObject,
1.843959,2,2,-0.03765144,1.591402,0.05437449,35.35615,358.3266,359.3839,-0.2279007,1.208366,0.2454093,339.7874,30.16559,330.6095,NoObject,-0.2105323,1.763207,0.1172388,16.57571,316.0557,308.1388,NoObject,
1.870124,2,2,-0.03801063,1.591092,0.0544848,35.45396,358.2719,359.4746,-0.227796,1.208426,0.245355,339.7842,30.19412,330.5856,NoObject,-0.2105323,1.763207,0.1172388,16.57604,316.055,308.1383,NoObject,
1.895214,2,2,-0.03838082,1.591015,0.05468986,35.47837,358.1897,359.5306,-0.2276689,1.208443,0.2453522,339.7935,30.20952,330.5694,NoObject,-0.2105323,1.763207,0.1172388,16.57701,316.0562,308.1395,NoObject,
1.919114,2,2,-0.03874049,1.590768,0.0547522,35.46913,358.1178,359.5858,-0.2275995,1.208487,0.2453283,339.8041,30.23002,330.5603,NoObject,-0.2105323,1.763207,0.1172388,16.57814,316.0574,308.1392,NoObject,
1.945631,2,2,-0.03913813,1.590702,0.05487038,35.4484,358.0756,359.6432,-0.2275085,1.208555,0.2453448,339.8079,30.24933,330.5389,NoObject,-0.2105323,1.763207,0.1172388,16.57688,316.0565,308.1382,NoObject,
1.969971,2,2,-0.0394367,1.590696,0.05504381,35.42693,358.0272,359.6934,-0.2274703,1.208581,0.2453456,339.8091,30.2632,330.5255,NoObject,-0.2105323,1.763207,0.1172388,16.57785,316.0562,308.1381,NoObject,
1.994789,2,2,-0.03964797,1.590552,0.05521002,35.46478,357.9973,359.7286,-0.2274749,1.208597,0.245336,339.8112,30.2765,330.5164,NoObject,-0.2105323,1.763207,0.1172388,16.57856,316.0563,308.1407,NoObject,
2.019394,2,2,-0.03979065,1.590459,0.05549588,35.50751,357.9433,359.7733,-0.2274327,1.208509,0.2453442,339.8096,30.26426,330.526,NoObject,-0.2105323,1.763207,0.1172388,16.57777,316.0547,308.1394,NoObject,
2.044316,2,2,-0.04013506,1.590244,0.05576504,35.58511,357.9276,359.8497,-0.2274327,1.208509,0.2453446,339.8098,30.26258,330.5272,NoObject,-0.2105323,1.763207,0.1172388,16.57639,316.0541,308.1393,NoObject,
2.070128,2,2,-0.0407325,1.589915,0.05603896,35.64762,357.8714,359.9447,-0.2274329,1.208511,0.2453447,339.8142,30.26164,330.533,NoObject,-0.2105323,1.763207,0.1172388,16.57734,316.0537,308.1407,NoObject,
2.095224,2,2,-0.04175701,1.589552,0.05638929,35.7368,357.6993,0.09206241,-0.2274327,1.208509,0.2453448,339.8125,30.26202,330.5291,NoObject,-0.2105323,1.763207,0.1172388,16.57661,316.0547,308.1396,NoObject,
2.120247,2,2,-0.04443589,1.589047,0.05645561,35.87424,357.1566,0.3791698,-0.2274329,1.20851,0.2453447,339.8155,30.26188,330.5332,NoObject,-0.2105323,1.763207,0.1172388,16.57593,316.0576,308.1419,NoObject,
2.144558,2,2,-0.05109747,1.588822,0.05660388,36.12377,355.1359,0.599206,-0.2274334,1.208512,0.2453432,339.8186,30.2658,330.5381,NoObject,-0.2105323,1.763207,0.1172388,16.57704,316.0542,308.1411,NoObject,
2.170291,2,2,-0.06088785,1.588761,0.05667467,36.12016,351.2117,359.968,-0.2274492,1.208575,0.2454449,340.0206,30.34475,330.7262,NoObject,-0.2105323,1.763207,0.1172388,16.5776,316.0547,308.1417,NoObject,
2.195532,2,2,-0.07005345,1.588516,0.05603401,35.90668,346.6877,359.0233,-0.2272655,1.208403,0.2456267,340.1461,30.38502,330.7924,NoObject,-0.2105323,1.763207,0.1172388,16.5753,316.0549,308.1422,NoObject,
2.221983,2,2,-0.08062834,1.58799,0.05467827,35.67495,342.556,358.8765,-0.2267637,1.20802,0.2460773,340.3795,30.49582,330.7902,NoObject,-0.2105323,1.763207,0.1172388,16.57583,316.0538,308.1415,NoObject,
2.244508,2,2,-0.09235546,1.58689,0.05284397,35.50753,338.2018,358.8408,-0.2263161,1.207938,0.2463387,340.5507,30.54419,330.8065,NoObject,-0.2105323,1.763207,0.1172388,16.57523,316.0551,308.1434,NoObject,
2.270741,2,2,-0.1039602,1.585644,0.0505424,35.4369,334.208,359.0916,-0.2254263,1.207847,0.2465811,340.7556,30.71283,330.6471,NoObject,-0.2105323,1.763207,0.1172388,16.57665,316.0549,308.1436,NoObject,
2.295953,2,2,-0.1153458,1.583891,0.04800322,35.47297,330.5867,359.4301,-0.2242742,1.207747,0.2467136,341.0897,31.09724,330.4837,NoObject,-0.2105323,1.763207,0.1172388,16.57499,316.058,308.1467,NoObject,
2.319031,2,2,-0.1257347,1.581696,0.04530503,35.71914,327.4374,359.7089,-0.2233414,1.207826,0.2465265,341.2065,31.53356,330.1932,NoObject,-0.2105323,1.763207,0.1172388,16.57537,316.0586,308.147,NoObject,
2.345137,2,2,-0.1349419,1.57954,0.04249529,36.22372,324.8557,0.07680746,-0.2223965,1.207957,0.2462302,341.3507,32.0165,329.9322,NoObject,-0.2105323,1.763207,0.1172388,16.57327,316.0581,308.1465,NoObject,
2.370037,2,2,-0.1432564,1.57737,0.04006828,36.80257,322.7339,0.4836994,-0.2213904,1.208072,0.2458335,341.5483,32.53038,329.6605,NoObject,-0.2105323,1.763207,0.1172388,16.57342,316.0586,308.1467,NoObject,
2.395278,2,2,-0.1507449,1.575865,0.03816434,37.27484,321.2058,0.9602752,-0.2204023,1.208158,0.2454974,341.781,33.07785,329.3909,NoObject,-0.2105323,1.763207,0.1172388,16.57239,316.0589,308.1474,NoObject,
2.420767,2,2,-0.1574235,1.574319,0.03681275,37.63995,320.0971,1.467732,-0.2194841,1.20831,0.2450341,341.9438,33.68199,329.2329,NoObject,-0.2105323,1.763207,0.1172388,16.57092,316.061,308.1486,NoObject,
2.444229,2,2,-0.1633853,1.573079,0.03585968,37.91697,319.4334,1.987611,-0.2186009,1.208442,0.2446969,342.1946,34.21677,329.1805,NoObject,-0.2105323,1.763207,0.1172388,16.57079,316.0597,308.1466,NoObject,
2.470809,2,2,-0.1688778,1.571689,0.0359515,38.13595,318.9755,2.529609,-0.2178954,1.208612,0.244554,342.3598,34.76405,329.0877,NoObject,-0.2105323,1.763207,0.1172388,16.5712,316.0597,308.1467,NoObject,
2.495207,2,2,-0.1735278,1.570549,0.03593858,38.38556,318.9134,3.06461,-0.2175427,1.208959,0.2444259,342.5829,35.27037,329.1585,NoObject,-0.2105323,1.763207,0.1172388,16.57108,316.0586,308.1473,NoObject,
2.519617,2,2,-0.1776314,1.569505,0.03686047,38.60028,319.0086,3.570693,-0.217535,1.209341,0.2444741,342.8923,35.82657,329.4474,NoObject,-0.2105323,1.763207,0.1172388,16.57095,316.0572,308.1458,NoObject,
2.544582,2,2,-0.1810539,1.568389,0.03758753,38.82349,319.3189,4.057148,-0.2179565,1.209674,0.2446343,343.0474,36.21206,329.6679,NoObject,-0.2105323,1.763207,0.1172388,16.57084,316.0558,308.1466,NoObject,
